# adapted from https://github.com/sandavid/paris-metro-map/blob/master/Connexions_IDF.csv

D4;Orangis Bois de l'Epine;Evry Courcouronnnnes
D4;Orangis Bois de l'Epine;Grigny Centre
D4;Grigny Centre;Orangis Bois de l'Epine
D4;Grigny Centre;Viry Chatillon
D4;Viry Chatillon;Grigny Centre
D4;Viry Chatillon;Juvisy sur Orge
D4;Juvisy sur Orge;Viry Chatillon
D4;Juvisy sur Orge;Vigneux sur Seine
D4;Vigneux sur Seine;Juvisy sur Orge
D4;Vigneux sur Seine;Villeneuve St Georges
D4;Villeneuve St Georges;Vigneux sur Seine


D6;Corbeil Essonnes;Evry
D6;Evry;Corbeil Essonnes
D6;Evry;Grand Bourg
D6;Grand Bourg;Evry
D6;Grand Bourg;Ris Orangis
D6;Ris Orangis;Grand Bourg
D6;Ris Orangis;Viry Chatillon
D6;Viry Chatillon;Ris Orangis

E1;Haussmann St Lazare;Magenta
E1;Magenta;Haussmann St Lazare
E1;Magenta;Pantin
E1;Pantin;Magenta
E1;Pantin;Noisy le Sec
E1;Noisy le Sec;Pantin

W;Haussmann St Lazare;Saint Lazare
W;Saint Lazare;Haussmann St Lazare
W;Haussmann St Lazare;Havre Caumartin
W;Havre Caumartin;Haussmann St Lazare
W;Haussmann St Lazare;Saint Augustin
W;Saint Augustin;Haussmann St Lazare
W;Haussmann St Lazare;Opera
W;Opera;Haussmann St Lazare

E2;Chelles Gournay;Le Chenay Gagny
E2;Le Chenay Gagny;Chelles Gournay
E2;Le Chenay Gagny;Gagny
E2;Gagny;Le Chenay Gagny
E2;Gagny;Le Raincy Villemomble Montfermeil
E2;Le Raincy Villemomble Montfermeil;Gagny
E2;Le Raincy Villemomble Montfermeil;Bondy
E2;Bondy;Le Raincy Villemomble Montfermeil
E2;Bondy;Noisy le Sec
E2;Noisy le Sec;Bondy

E4;Tournan;Gretz Armainvilliers
E4;Gretz Armainvilliers;Tournan
E4;Gretz Armainvilliers;Ozoir la Ferriere
E4;Ozoir la Ferriere;Gretz Armainvilliers
E4;Ozoir la Ferriere;Roissy en Brie
E4;Roissy en Brie;Ozoir la Ferriere
E4;Roissy en Brie;Emerainville Pontault Combault
E4;Emerainville Pontault Combault;Roissy en Brie
E4;Emerainville Pontault Combault;Les Yvris Noisy le Grand
E4;Les Yvris Noisy le Grand;Emerainville Pontault Combault
E4;Les Yvris Noisy le Grand;Villiers sur Marne le Plessis Trevise
E4;Villiers sur Marne le Plessis Trevise;Les Yvris Noisy le Grand
E4;Villiers sur Marne le Plessis Trevise;Les Boullereaux Champigny
E4;Les Boullereaux Champigny;Villiers sur Marne le Plessis Trevise
E4;Les Boullereaux Champigny;Nogent Le Perreux
E4;Nogent Le Perreux;Les Boullereaux Champigny
E4;Nogent Le Perreux;Val de Fontenay
E4;Val de Fontenay;Nogent Le Perreux
E4;Val de Fontenay;Rosny sous Bois
